election_id,election_year,office,district_display,dem_margin,dem_margin_two_party,response_shift
105589,2010,State Senate,1st Hampden and Hampshire,16.375297003882782,16.375297003882782,0.0
126300,2014,State Representative,32nd Middlesex,31.933581999759355,31.933581999759355,0.0
126115,2014,State Representative,3rd Hampden,-35.76431511300455,-35.76431511300455,0.0
105679,2010,State Senate,1st Bristol and Plymouth,24.317155054503253,24.317155054503253,0.0
105686,2010,State Representative,9th Worcester,-34.83576539523354,-34.83576539523354,0.0
154475,2022,State Representative,8th Plymouth,-20.00254000508001,-20.00254000508001,0.0
105678,2010,State Representative,7th Bristol,50.49449784092492,50.49449784092492,0.0
105719,2010,State Representative,9th Norfolk,-35.10119483052914,-35.10119483052914,0.0
105663,2010,State Representative,8th Worcester,-14.448155781394355,-14.448155781394355,0.0
126281,2014,State Representative,4th Norfolk,16.985677954758398,16.985677954758398,0.0
131661,2018,State Representative,11th Norfolk,34.09069212410501,34.09069212410501,0.0
126170,2014,State Representative,5th Barnstable,-25.4746835443038,-25.4746835443038,0.0
154553,2022,State Senate,5th Middlesex,27.215629435033367,27.215629435033367,0.0
130308,2016,State Senate,2nd Worcester,48.21301265754678,48.21301265754678,0.0
165465,2024,State Representative,13th Middlesex,47.11668120885222,47.11668120885222,0.0
131582,2018,State Representative,2nd Barnstable,-4.081959340483432,-4.081959340483432,0.0
126235,2014,State Senate,2nd Middlesex,51.33143344647946,51.33143344647946,0.0
130390,2016,State Representative,3rd Plymouth,8.035204954771412,8.035204954771412,0.0
105727,2010,State Representative,14th Norfolk,22.437338891021774,22.437338891021774,0.0
130266,2016,State Representative,3rd Hampden,-20.00988875154512,-20.00988875154512,0.0
126175,2014,State Senate,3rd Middlesex,18.47735292613491,18.47735292613491,0.0
165421,2024,State Representative,9th Suffolk,64.91723341460285,64.91723341460285,0.0
